date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-05-16,all,not_vaccinated,14,2667,6223464,0.22,NA,19.43,0.31,50,42.07,54.48,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-16,all,unknown,11,3386,NA,NA,NA,13,NA,39.29,53.41,37.19,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-17,all,fully_vaccinated,2,143,1361669,0.15,NA,1.14,0.08,4.88,2.24,3.17,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-17,all,partially_vaccinated,3,149,1167774,0.26,NA,1.71,0.15,7.32,2.34,4.58,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-17,all,not_vaccinated,25,2692,6179912,0.4,NA,20.29,0.33,60.98,42.19,54.59,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-17,all,unknown,11,3397,NA,NA,NA,13.57,NA,26.83,53.24,37.67,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-18,all,fully_vaccinated,1,144,1410596,0.07,NA,1.43,0.1,2.5,2.24,4.12,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-18,all,partially_vaccinated,5,154,1172533,0.43,NA,1.57,0.13,12.5,2.4,4.15,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-18,all,not_vaccinated,20,2712,6126226,0.33,NA,19.71,0.32,50,42.24,52.93,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-18,all,unknown,14,3411,NA,NA,NA,13.86,NA,35,53.12,38.8,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-19,all,fully_vaccinated,2,146,1457695,0.14,NA,1.57,0.11,4.08,2.26,4.69,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-19,all,partially_vaccinated,0,154,1183046,0,NA,1.57,0.13,0,2.38,4.15,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-19,all,not_vaccinated,28,2740,6068614,0.46,NA,19.71,0.32,57.14,42.35,54.03,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
